ID;;;;;;
1;Handia;116;Drama;5;Jon Garaño, Aitor Arregi Galdos;1843an, etxera itzuli da Martín, Lehen Gerra Karlistan borrokatu ondoren. Gipuzkoako familia-baserrira iritsi denean, harrituta ikusi du bere anaia txikia, Joaquín, ohi baino askoz altuagoa dela. Martin ziur dago anaia zirkuko pertsonaia bihur dezakeela, eta denek ikusi nahiko dutela. Bi anaiek bidaia luze bat egin dute Europan zehar, eta anbizioa, dirua eta fama betiko aldatuko dira familiaren patua.
2;La Lista De Schindler;197;Drama;5;Steven Spielberg;Oskar Schindler gizon maltzurrak eta talentudunak anbizio handiko plana antolatu du nazien sinpatia lortzeko eta milaka judu erreskatatzeko.
3;Cadena Perpetua;142;Drama;5;Frank Darabont;Andrew Dufresne gizon errugabea da, eta emaztea hiltzea leporatu diote.Betiko kartzela-zigorra jaso ondoren, Shawshank-eko kartzelara bidali dute, Mainera. Urteen poderioz, Andrewk ikastetxeko zuzendariaren konfiantza eta beste konbiktuekiko errespetua lortuko ditu,batez ere Red mafiako buruarekiko errespetua.
4;Million Dollar Baby;133;Drama;5;Clint Eastwood;Frankie Dunn entrenatzailea Maggie Fitzgerald entrenatzen amaitu du, zakarra eta neskak ez entrenatzeko araua den arren. Maggie boxeolaria izan nahi duen neska da, eta edozer egiteko prest dago hori lortzeko.
5;Psicosis;109;Beldurra;5;Alfred Hitchcock;Higiezinen enpresa bateko idazkaria, Marion Crane, ezin da Sam Loomis maitalearekin ezkondu. Nagusiak bankuan sartzeko emandako 40.000 dolar jartzen ditu bere esku patuak. Marionek diru hori bereganatzea erabaki du, Samekin bizitza berri bati ekiteko. Kaliforniara bidean, gaua erori da, eta ekaitz gogor batek Norman Bates gazte lotsati, bitxi eta demente batek eta haren amak zuzendutako errepideko motel bakarti batean ostatu hartzera behartu du.
6;El Resplandor;146;Beldurra;5;Stanley Kubrick;Jack Torrance familiarekin hotel isolatu batera joan da bizitzera. Hotel hori zaindu egin behar du, bere idazkeraren blokeo sortzailetik ateratzeko itxaropenarekin. Jackek blokeotik ihes egin ezin duen bitartean, semearen irudipen psikikoak areagotzen ari dira.
7;Dracula;155;Beldurra;5;Francis Ford Coppola;Banpiro bihurtu aurretik, Dracula kondea Vlad printzea zen, bere maitearen heriotzaren berri izan zuenean, deabruari saldu zion arima. Lau mende geroago, Dracula kondeak harrapatu du Jonathan Harker, Europako ekialdean galdutako gaztelu batera doan abokatu gaztea.
8;Cisne Negro;110;Beldurra;5;Darren Aronofsky;Nina (Natalie Portman), New Yorkeko ballet konpainia bateko kide den dantzari bikaina, dantzak erabat xurgatuta bizi da. Bere ama kontrolatzailearen (Barbara Hershey) presioa, Lily (Mila Kunis) lankidearekiko lehia eta zuzendari zorrotzaren (Vincent Cassel) eskakizunak areagotuz joango dira estreinaldiaren eguna hurbildu ahala. Tentsio horrek nerbio-akidura eta nahasmen mentala eragiten dizkio Ninari, eta horrek errealitatea eta fikzioa bereizteko ezgaitzen du.
9;2001: Odisea En El Espacio;142;Zientzia Fikzioa;5;Stanley Kubrick;Zinemaren historiako zientzia-fikziozko filmak gizateriaren historiako aldiak kontatzen ditu, ez iraganekoak bakarrik, baita etorkizunekoak ere. Duela milioika urte, homo sapiensa agertu baino lehen, primate batzuek monolito bat aurkitu dute, eta horrek adimen handiagoko estadio batera eraman ditu. Milioika urte geroago, ilargian lurperatutako beste monolito batek zientzialarien interesa piztu du.
10;La Novia De Frankenstein;75;Zientzia Fikzioa;5;James Whale;"""Frankensteinen emaztegaia"" klasiko bikaina da, James Whalek zuzendua, ""Frankenstein doktorearen"" jarraipena. Sortu zuen izaki higuingarriarekin lotutako gertaera traumatikoak ahazten saiatu ondoren, eta esperimentuak bertan behera utziko zituela zin egin ondoren, Henry Frankensteinek Pretorius doktorearen xantaiei amore eman beharko zien munstroarentzako lagun bat sortzeko."
11;El Planeta De Los Simios;115;Zientzia Fikzioa;5;Franklin Schaffner;George Taylor espazio-ontzi bateko tripulazioko kide da, iraupen luzeko misio batean. Planeta ezezagun eta itxuraz bizitza adimentsurik gabeko batean erori da. Hala ere, laster konturatuko da oso garatuta dauden tximino-arraza batek gobernatzen duela, komunikatzeko gai ez diren gizaki batzuk esklabo bihurtzen dituena. Zaius doktorea Taylorrek hitzaren dohaina duela jakin duenean, kentzea erabaki du.
12;Alien, El Octavo Pasajero;117;Zientzia Fikzioa;5;Ridley Scott;De regreso a la Tierra, la nave de carga Nostromo interrumpe su viaje y despierta a sus siete tripulantes. El ordenador central, MADRE, ha detectado la misteriosa transmisión de una forma de vida desconocida, procedente de un planeta cercano aparentemente deshabitado. La nave se dirige entonces al extraño planeta para investigar el origen de la comunicación.
13;Scary Movie;90;Komedia;5;Keenen Ivory Wayans;Ikasle eder bat hil dute. Nerabe desorientatuen talde batek haien artean hiltzaile bat dagoela jakingo du. Cyndi Campbell heroia eta bere lagun despistatuen taldea izutu egingo dira haien mendekua hartu nahi duen psikopata mozorrotu berezi batek jota, iragan Halloween egunean ustekabean harrapatu ondoren.
14;El Gran Lebowsky;119;Komedia;5;Joel David Coen, Ethan Jesse Coen;El Nota (Jeff Bridges), Los Angelesen bizi den lauso bat, egun batean Jeff Lebowski milioidunarekin nahasten dute pare bat hiltzailek. Alfonbran pixa egin ondoren, Oharrak Lebowski handiaren bilaketa hasten du. Bere topaketatik tratu bat sortuko da: Oharrak sari bat jasoko du handikiaren emaztea aurkitzea lortzen badu.
15;La Vida De Brian;114;Komedia;5;Terry Jones;Brian Belengo aska batean jaiotzen da Jesukristoren egun berean. Nahas-mahas pilo batek eramango zaitu. benetako Jainkoaren Semearen bizitza paraleloa. Bere argi apurrak eta gainbehera eta erabateko kaos giroa egun haietako Galilea urperatuta, amaren, feminista iraultzaile baten eta Poncio Pilatos, kalbarioaren bertsio propioa.
16;Aterriza Como Puedas;88;Komedia;5;David Zucker, Jerry Zucker, Jim Abrahams;Trans American 209 hegaldia Los Angelesetik Chicagora doa. Pasartean pertsonaia bitxi batzuk daude. Horien artean, borroka-pilotu ohi bat, hegaldian, hegazkin komertzialaren agintea hartu beharko du, pilotuak janari batengatik ondoezik geratu ondoren.
